Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m]
325,-54.92,141
312.02802,-56.032,2630
274.5,-41,3000
283.31702,-35.208,3906
334.82001,0,2990
264.33331,9.495,3616
316.93298,-0.7833,3705
336.5,-2,5000
336.53,-0.583,4380
324.73001,-55.02,1100
278.74799,-3.493,194
325,4,3700
261,-1.5,3000
336.35001,8.47,4850
317.06702,2.017,4000
317.29999,-23.317,103
316,7.5,5000
336.47,0.07,3700
285.42999,-15.85,400
330,8,4450
281.81702,-37.567,450
315.5,-23.928,93
289.60001,-18.417,70
259.33832,9.4967,3591
324.97,-54.97,110
336.63,7.53,4150
284.34201,-14.908,104
299.37,-47,333
254.535,10.033,3145
294.85001,-56.72,4030
279.94202,-8.035,162
281.22,4.05,3749
324.91998,16.02,5500
308.08002,-32.333,23
317.78299,-22.993,53
306.5267,-36.0983,133
254.8,-41.42,3560
281.75,-12.55,1792
330,16.4667,5100
289.84698,-19.917,23
281.68298,13.35,3667
286.88,14.53,3200
276.41998,-5,3000
288.767,-23.71,6035
328.017,-19.8,4170
268.508,0.325,2999
278,1,3530
296.97,12.485,2926
277.625,-5,2000
302.01999,-42.07,465
326.67999,-16.33,4584
277.52701,-6.77,1000
289.19202,-26.337,235
288.10001,-33.1,510
274.97,-25.87,3500
279,-39.33,4000
302.21671,-38.3667,33
303.5,9.5,3442
288.25,-32.4,930
326.32001,-50.53,5200
321.08002,7.85,4200
276.64999,-1.12,3000
308.91699,-31.55,20
312.00299,-26.287,53
284.522,-15.077,98
292.87,15.4,4757
272.823,16.272,1899
330,16,4400
308.75,6.22,2850
289.19699,-19,1575
325.03,1.5,4110
317.78299,-22.993,52
284.56702,-15.042,54
330.91769,-4.5002,5212
323.95001,10.16,5072
308.54999,-32.483,50
278.13,-37.52,4000
281.25,-10.15,138
277.5,-16,5000
268.5,-37.02,3990
329.01999,-12.28,5205
294.58002,-50.58,126
320,7.5,4000
323.03,-52.73,1781
321.89832,-53.6267,202
302.76669,-36.1333,2
263,6.37,3550
321.35001,-53.9,160
279.19202,-52.075,4271
315.017,-23.643,40
323.983,0.5,4530
301.51999,-50.1,195
316.95001,-31,3900
310.33002,14.93,4500
296.828,-58.46,3300
280.23001,-7.13,17
271.66669,-16.75,4300
326.59698,-18.277,4369
278.18701,-4.488,280
334.42001,3,4300
